base,date,currency,rate
EUR,2025-05-27,XAF,653.929492
EUR,2025-05-27,XAG,0.034351
EUR,2025-05-27,XAU,0.000344
EUR,2025-05-27,XCD,3.071411
EUR,2025-05-27,XDR,0.813278
EUR,2025-05-27,XOF,653.929492
EUR,2025-05-27,XPF,119.331742
EUR,2025-05-27,YER,277.131948
EUR,2025-05-27,ZAR,20.32241
EUR,2025-05-27,ZMK,10229.746148
EUR,2025-05-27,ZMW,31.350797
EUR,2025-05-27,ZWL,365.948133
